id_r,date,id_t,id_s
1,2025-07-06,2,1
2,2025-07-06,3,2
3,2025-07-07,3,2
4,2025-07-08,3,2
5,2025-07-09,3,2
6,2025-07-10,3,2
7,2025-07-11,3,2
8,2025-07-12,3,2
9,2025-07-13,3,2
10,2025-07-14,3,2
11,2025-07-15,3,2
12,2025-07-16,3,2
13,2025-07-17,3,2
14,2025-07-18,3,2
15,2025-07-19,3,2
16,2025-07-20,3,2
17,2025-07-09,4,3
18,2025-07-10,4,3
19,2025-07-11,4,3
20,2025-07-12,4,3
21,2025-07-13,4,3
22,2025-07-14,4,3
23,2025-07-15,4,3
24,2025-07-16,4,3
25,2025-07-17,4,3
26,2025-07-15,4,4
27,2025-07-10,5,5
28,2025-07-11,5,5
29,2025-07-12,5,5
30,2025-07-13,5,5
31,2025-07-14,5,5
32,2025-07-15,5,5
33,2025-07-16,5,5
34,2025-07-17,5,5
35,2025-07-18,5,5
36,2025-07-19,5,5
37,2025-07-20,5,5
38,2025-07-21,5,5
39,2025-07-22,5,5
40,2025-07-23,5,5
41,2025-07-18,5,6
42,2025-07-07,6,7
43,2025-07-08,6,7
44,2025-07-09,6,7
45,2025-07-10,6,7
46,2025-07-11,6,7
47,2025-07-12,6,7
48,2025-07-17,6,8
49,2025-07-18,6,8
50,2025-07-19,6,8
51,2025-07-20,6,8
52,2025-07-21,6,8
53,2025-07-22,6,8
54,2025-07-08,7,9
55,2025-07-13,7,10
56,2025-07-08,14,11
57,2025-07-09,34,11
58,2025-07-10,34,11
59,2025-07-11,10,11
60,2025-07-14,8,11
61,2025-07-15,29,11
62,2025-07-16,35,11
63,2025-07-17,16,11
64,2025-07-18,32,11
65,2025-07-19,15,11
66,2025-07-21,33,11
67,2025-07-22,30,11
68,2025-07-23,23,11
69,2025-07-24,12,11
70,2025-07-25,31,11
71,2025-07-26,11,11
72,2025-07-12,9,12
73,2025-07-14,9,13
74,2025-07-19,9,14
75,2025-07-20,9,14
76,2025-07-22,9,14
77,2025-07-23,9,14
78,2025-07-24,9,14
79,2025-07-05,9,15
80,2025-07-06,9,15
81,2025-07-08,9,15
82,2025-07-09,9,15
83,2025-07-10,9,15
84,2025-07-11,9,15
85,2025-07-07,13,16
86,2025-07-08,13,16
87,2025-07-10,13,16
88,2025-07-11,13,16
89,2025-07-12,13,16
90,2025-07-15,13,17
91,2025-07-19,13,18
92,2025-07-20,13,18
93,2025-07-21,13,18
94,2025-07-23,13,18
95,2025-07-24,13,18
96,2025-07-25,13,18
