id_s,nom
1,L’Heure du conte Ruses de femmes
2,BREL
3,Affaires Familiales
4,Langue de l’exil  langue en exil
5,Israel & Mohamed
6,Le Procès Pelicot Hommage à Gisèle Pelicot
7,Magec / the Desert
8,Gahugu Gato (Petit Pays)
9,Rencontre de l’Institut français
10,Projection et rencontre avec Pedro Costa
11,LA LETTRE Pièce commune / Volksstück
12,reEncanto
13,La Voix des femmes Une célébration des 50 ans de la disparition d’Oum Kalthoum  l’Astre d’Orient
14,Le Soulier de satin
15,NÔT
16,Delirious Night
17,Nour Une célébration poétique de la langue arabe
18,Derniers Feux
19,Prélude de Pan
20,Nexus de l’adoration
21,MAMI
22,Item
23,Par autan
24,Rinse
25,Les Perses Démonter les remparts pour finir le pont
26,Vive le sujet ! Tentatives – Série 1 Avec la SACD
27,Vive le sujet ! Tentatives – Série 2 Avec la SACD
28,Vive le sujet ! Tentatives – Série 3 Avec la SACD
29,La Distance
30,When I Saw the Sea Quand j'ai vu la Mer – عندما رأيت البحر
31,Laaroussa Quartet Un corps libre qui invente son propre geste
32,Le Sommet
33,TAIRE
34,Soma Concert de clôture
35,Quel(s) rôle(s) pour les festivals internationaux aujourd’hui ? Chapitre 2
36,RI TE
37,Every-body-knows-what-tomorrow-brings-and-we-all-know-what-happened-yesterday
38,Coin Operated
39,L’Heure du conte À la rencontre des sources orientales de La Fontaine : les Fables de Kalila et Dimna
40,Conversation avec Delphine Minoui
41,Le Canard sauvage
42,Les Incrédules
43,Municipales 2026 : de quelle culture parlera-t-on ?
44,Fusées
45,Radio Live Chapitre 1 : Vivantes
46,Radio Live Chapitre 1  2 et 3 : Intégrale
47,YES DADDY حاضر يا أبي
48,Radio Live Chapitre 2 : Nos vies à venir
49,Radio Live Chapitre 3 : Réuni·es
50,Archives et répertoires  restitution et transmission Journées SACRe - ESAA
51,Rencontre des réseaux A+U+C et TRAS
52,Transmission Impossible
53,Spectacle vivant  Scènes numériques
